,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
50,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
51,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
52,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
53,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
54,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
55,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
56,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
57,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
58,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
59,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
60,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
61,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
62,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
63,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
64,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
65,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
66,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
67,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
68,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
69,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
70,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
71,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
72,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
73,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
74,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
75,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
76,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
77,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
78,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
79,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
80,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
81,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
82,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
83,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
84,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
85,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
86,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
87,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
88,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
89,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
90,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
91,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
92,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
93,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
94,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
95,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
96,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
97,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
98,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
99,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
000,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
001,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
002,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
003,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
004,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
005,-4.5,-1.25,-1.25,-7.25,-5.75,-6.0,-2.75,-7.75,-5.0,-6.0
