Method,Mean,Median,Std,Min,Max,Q1,Q3,IQR
base_prompting,-7.4,-8.125,3.5701890706235715,-12.75,-0.125,-9.125,-5.875,3.25
difference_in_prompting,0.38058980855855856,-0.03125,3.028968000533318,-9.375,9.5625,-1.5,2.1875,3.6875
logit,18.275923423423425,18.375,2.621029975749165,7.625,26.75,16.5,20.125,3.625
subliminal_prompting,-7.019410191441441,-7.25,1.8248030774952126,-13.6875,-0.1875,-8.25,-5.96875,2.28125
unembedding,0.009794561401143804,0.0096435546875,0.018419576336111944,-0.13671875,0.197265625,-0.0014972686767578,0.0208740234375,0.0223712921142578
