,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
213,-23.0,-12.0,-16.0,-9.0,-8.0,-11.0,-17.0,-9.0,-12.0,-10.0
214,-19.0,-15.0,-14.0,-9.0,-10.0,-11.0,-15.0,-6.0,-11.0,-9.0
215,-20.0,-16.0,-13.0,-9.0,-10.0,-10.0,-16.0,-6.0,-12.0,-10.0
216,-18.0,-16.0,-10.0,-9.0,-8.0,-12.0,-15.0,-5.0,-12.0,-11.0
217,-23.0,-15.0,-17.0,-12.0,-11.0,-13.0,-20.0,-10.0,-12.0,-13.0
218,-20.0,-15.0,-12.0,-9.0,-8.0,-11.0,-15.0,-6.0,-9.0,-11.0
219,-22.0,-14.0,-15.0,-9.0,-9.0,-12.0,-18.0,-8.0,-13.0,-11.0
220,-18.0,-18.0,-13.0,-11.0,-11.0,-11.0,-15.0,-6.0,-8.0,-12.0
221,-21.0,-16.0,-15.0,-10.0,-9.0,-9.0,-15.0,-8.0,-8.0,-12.0
222,-21.0,-14.0,-18.0,-13.0,-11.0,-13.0,-15.0,-10.0,-9.0,-11.0
223,-23.0,-14.0,-19.0,-13.0,-8.0,-14.0,-15.0,-12.0,-15.0,-9.0
224,-19.0,-17.0,-14.0,-11.0,-11.0,-10.0,-15.0,-6.0,-10.0,-9.0
225,-14.0,-14.0,-10.0,-8.0,-8.0,-10.0,-12.0,-4.0,-9.0,-8.0
226,-18.0,-15.0,-13.0,-10.0,-9.0,-9.0,-14.0,-6.0,-9.0,-10.0
227,-21.0,-16.0,-15.0,-11.0,-9.0,-11.0,-17.0,-7.0,-10.0,-11.0
228,-20.0,-17.0,-15.0,-11.0,-10.0,-10.0,-15.0,-8.0,-8.0,-13.0
229,-19.0,-16.0,-14.0,-10.0,-11.0,-9.0,-18.0,-9.0,-12.0,-12.0
230,-20.0,-14.0,-13.0,-8.0,-8.0,-8.0,-15.0,-5.0,-10.0,-11.0
231,-23.0,-14.0,-15.0,-9.0,-8.0,-12.0,-17.0,-9.0,-13.0,-10.0
232,-19.0,-16.0,-13.0,-10.0,-9.0,-10.0,-15.0,-7.0,-10.0,-10.0
233,-21.0,-12.0,-14.0,-11.0,-10.0,-10.0,-12.0,-7.0,-11.0,-9.0
234,-21.0,-14.0,-15.0,-11.0,-10.0,-12.0,-15.0,-7.0,-12.0,-10.0
235,-20.0,-17.0,-11.0,-9.0,-8.0,-11.0,-15.0,-5.0,-12.0,-11.0
236,-19.0,-16.0,-13.0,-11.0,-9.0,-10.0,-16.0,-5.0,-10.0,-10.0
237,-22.0,-14.0,-16.0,-12.0,-9.0,-12.0,-17.0,-8.0,-11.0,-11.0
238,-20.0,-16.0,-13.0,-10.0,-8.0,-11.0,-14.0,-6.0,-9.0,-12.0
239,-19.0,-14.0,-13.0,-10.0,-9.0,-10.0,-16.0,-7.0,-12.0,-11.0
240,-18.0,-16.0,-10.0,-8.0,-8.0,-8.0,-14.0,-3.0,-9.0,-10.0
241,-20.0,-16.0,-15.0,-9.0,-10.0,-12.0,-17.0,-9.0,-13.0,-10.0
242,-19.0,-16.0,-16.0,-12.0,-11.0,-10.0,-15.0,-8.0,-11.0,-11.0
243,-22.0,-12.0,-14.0,-8.0,-5.0,-13.0,-14.0,-10.0,-18.0,-13.0
244,-17.0,-15.0,-13.0,-10.0,-11.0,-9.0,-14.0,-6.0,-10.0,-9.0
245,-18.0,-16.0,-12.0,-9.0,-10.0,-9.0,-15.0,-6.0,-12.0,-11.0
246,-19.0,-15.0,-14.0,-10.0,-10.0,-11.0,-17.0,-6.0,-11.0,-11.0
247,-20.0,-14.0,-13.0,-9.0,-8.0,-12.0,-16.0,-7.0,-13.0,-11.0
248,-18.0,-16.0,-13.0,-10.0,-10.0,-10.0,-15.0,-7.0,-9.0,-10.0
249,-20.0,-17.0,-16.0,-11.0,-12.0,-12.0,-17.0,-10.0,-14.0,-11.0
250,-17.0,-19.0,-10.0,-10.0,-11.0,-9.0,-12.0,-5.0,-9.0,-9.0
251,-21.0,-18.0,-15.0,-12.0,-12.0,-13.0,-16.0,-10.0,-14.0,-9.0
252,-19.0,-17.0,-15.0,-12.0,-11.0,-11.0,-15.0,-9.0,-13.0,-10.0
253,-19.0,-15.0,-13.0,-11.0,-10.0,-9.0,-15.0,-7.0,-11.0,-9.0
254,-17.0,-18.0,-12.0,-11.0,-11.0,-11.0,-15.0,-7.0,-11.0,-9.0
255,-18.0,-18.0,-10.0,-9.0,-9.0,-8.0,-15.0,-6.0,-7.0,-12.0
256,-15.0,-18.0,-6.0,-10.0,-10.0,-8.0,-13.0,-4.0,-7.0,-9.0
257,-20.0,-18.0,-15.0,-14.0,-13.0,-13.0,-18.0,-9.0,-12.0,-11.0
258,-19.0,-18.0,-13.0,-12.0,-12.0,-11.0,-16.0,-7.0,-10.0,-11.0
259,-17.0,-17.0,-11.0,-9.0,-10.0,-9.0,-16.0,-6.0,-12.0,-10.0
260,-15.0,-19.0,-9.0,-9.0,-11.0,-8.0,-16.0,-4.0,-12.0,-11.0
261,-19.0,-17.0,-13.0,-10.0,-10.0,-11.0,-18.0,-8.0,-13.0,-12.0
262,-17.0,-17.0,-13.0,-10.0,-9.0,-9.0,-17.0,-7.0,-12.0,-11.0
263,-20.0,-13.0,-14.0,-9.0,-8.0,-9.0,-17.0,-7.0,-12.0,-10.0
264,-15.0,-18.0,-10.0,-11.0,-12.0,-8.0,-15.0,-5.0,-12.0,-10.0
265,-17.0,-17.0,-10.0,-11.0,-11.0,-8.0,-16.0,-5.0,-12.0,-10.0
266,-16.0,-18.0,-9.0,-11.0,-11.0,-9.0,-16.0,-5.0,-11.0,-10.0
267,-18.0,-16.0,-13.0,-12.0,-11.0,-12.0,-18.0,-7.0,-13.0,-12.0
268,-17.0,-16.0,-9.0,-9.0,-9.0,-9.0,-15.0,-4.0,-9.0,-11.0
269,-19.0,-16.0,-13.0,-9.0,-9.0,-12.0,-18.0,-7.0,-14.0,-12.0
270,-20.0,-17.0,-10.0,-10.0,-10.0,-10.0,-16.0,-4.0,-14.0,-14.0
271,-22.0,-18.0,-15.0,-13.0,-12.0,-14.0,-18.0,-10.0,-14.0,-12.0
272,-18.0,-17.0,-12.0,-12.0,-10.0,-10.0,-15.0,-7.0,-11.0,-10.0
273,-21.0,-14.0,-14.0,-13.0,-10.0,-9.0,-15.0,-8.0,-13.0,-12.0
274,-19.0,-17.0,-13.0,-12.0,-10.0,-11.0,-16.0,-7.0,-10.0,-11.0
275,-18.0,-18.0,-10.0,-12.0,-11.0,-10.0,-15.0,-5.0,-10.0,-10.0
276,-18.0,-17.0,-9.0,-10.0,-8.0,-10.0,-15.0,-4.0,-10.0,-9.0
277,-19.0,-16.0,-13.0,-12.0,-11.0,-11.0,-17.0,-7.0,-11.0,-11.0
278,-18.0,-17.0,-12.0,-11.0,-10.0,-10.0,-15.0,-6.0,-8.0,-11.0
279,-18.0,-15.0,-12.0,-10.0,-9.0,-10.0,-16.0,-7.0,-11.0,-10.0
280,-16.0,-18.0,-9.0,-10.0,-10.0,-7.0,-14.0,-5.0,-10.0,-11.0
281,-20.0,-18.0,-14.0,-11.0,-11.0,-13.0,-17.0,-9.0,-13.0,-12.0
282,-18.0,-16.0,-13.0,-11.0,-10.0,-9.0,-15.0,-7.0,-10.0,-11.0
283,-21.0,-15.0,-15.0,-12.0,-10.0,-10.0,-17.0,-10.0,-12.0,-11.0
284,-17.0,-16.0,-13.0,-11.0,-11.0,-10.0,-15.0,-7.0,-8.0,-10.0
285,-19.0,-18.0,-11.0,-10.0,-10.0,-10.0,-16.0,-7.0,-11.0,-13.0
286,-17.0,-17.0,-11.0,-11.0,-10.0,-9.0,-15.0,-6.0,-9.0,-10.0
287,-17.0,-18.0,-11.0,-10.0,-10.0,-10.0,-15.0,-6.0,-9.0,-11.0
288,-16.0,-16.0,-10.0,-10.0,-9.0,-8.0,-13.0,-5.0,-7.0,-11.0
289,-16.0,-16.0,-10.0,-9.0,-10.0,-9.0,-14.0,-6.0,-10.0,-10.0
290,-17.0,-19.0,-10.0,-10.0,-11.0,-8.0,-15.0,-5.0,-13.0,-12.0
291,-19.0,-17.0,-13.0,-10.0,-11.0,-12.0,-16.0,-9.0,-15.0,-11.0
292,-17.0,-17.0,-13.0,-11.0,-11.0,-9.0,-15.0,-7.0,-12.0,-10.0
293,-17.0,-14.0,-12.0,-10.0,-9.0,-7.0,-14.0,-7.0,-11.0,-10.0
294,-17.0,-18.0,-13.0,-11.0,-12.0,-9.0,-14.0,-7.0,-12.0,-10.0
295,-18.0,-19.0,-12.0,-11.0,-12.0,-9.0,-16.0,-6.0,-13.0,-11.0
296,-16.0,-18.0,-10.0,-11.0,-11.0,-8.0,-15.0,-5.0,-10.0,-10.0
297,-19.0,-17.0,-13.0,-13.0,-12.0,-11.0,-16.0,-7.0,-13.0,-12.0
298,-18.0,-18.0,-11.0,-11.0,-11.0,-8.0,-14.0,-6.0,-10.0,-12.0
299,-15.0,-17.0,-12.0,-9.0,-10.0,-4.0,-17.0,-6.0,-11.0,-11.0
300,-16.0,-14.0,-11.0,-5.0,-5.0,-8.0,-17.0,-9.0,-13.0,-14.0
301,-18.0,-16.0,-12.0,-10.0,-11.0,-7.0,-15.0,-7.0,-12.0,-13.0
302,-18.0,-15.0,-12.0,-10.0,-9.0,-7.0,-14.0,-6.0,-11.0,-11.0
303,-16.0,-13.0,-10.0,-8.0,-7.0,-6.0,-13.0,-4.0,-8.0,-9.0
304,-16.0,-16.0,-9.0,-8.0,-9.0,-7.0,-13.0,-5.0,-10.0,-9.0
305,-16.0,-15.0,-8.0,-7.0,-7.0,-3.0,-14.0,-4.0,-10.0,-11.0
306,-18.0,-17.0,-10.0,-9.0,-8.0,-8.0,-16.0,-6.0,-11.0,-13.0
307,-22.0,-17.0,-14.0,-12.0,-10.0,-11.0,-18.0,-9.0,-13.0,-14.0
308,-17.0,-16.0,-9.0,-8.0,-7.0,-8.0,-14.0,-6.0,-10.0,-12.0
309,-18.0,-15.0,-11.0,-8.0,-8.0,-8.0,-16.0,-7.0,-11.0,-12.0
310,-18.0,-16.0,-7.0,-7.0,-8.0,-4.0,-12.0,-3.0,-10.0,-10.0
311,-19.0,-18.0,-12.0,-10.0,-10.0,-7.0,-16.0,-8.0,-11.0,-12.0
312,-20.0,-14.0,-13.0,-9.0,-9.0,-10.0,-16.0,-8.0,-12.0,-9.0
313,-22.0,-11.0,-14.0,-10.0,-8.0,-8.0,-16.0,-9.0,-13.0,-12.0
