Method,Mean,Median,Std,Min,Max,Q1,Q3,IQR
base_prompting,-20.7,-23.0,5.929586832149437,-27.5,-8.5,-25.5,-16.5,9.0
difference_in_prompting,8.550090090090091,8.5,6.020282160263011,-9.5,23.5,3.5,13.5,10.0
logit,-24.817252252252253,-25.0,15.061785802121255,-82.0,21.0,-35.5,-14.0,21.5
subliminal_prompting,-12.14990990990991,-11.0,3.8768259273744876,-28.0,-1.0,-15.0,-10.0,5.0
unembedding,0.031237913735278018,0.0277099609375,0.03008509951577494,-0.0218505859375,0.10791015625,0.009521484375,0.03759765625,0.028076171875
