,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
272,4.5,9.5,4.5,13.5,13.5,-1.5,3.5,6.5,16.5,14.5
273,1.5,12.5,2.5,12.5,13.5,-0.5,3.5,5.5,14.5,12.5
274,3.5,9.5,3.5,13.5,13.5,-2.5,2.5,6.5,17.5,13.5
275,4.5,8.5,6.5,13.5,12.5,-1.5,3.5,8.5,17.5,14.5
276,4.5,9.5,7.5,15.5,15.5,-1.5,3.5,9.5,17.5,15.5
277,3.5,10.5,3.5,13.5,12.5,-2.5,1.5,6.5,16.5,13.5
278,4.5,9.5,4.5,14.5,13.5,-1.5,3.5,7.5,19.5,13.5
279,4.5,11.5,4.5,15.5,14.5,-1.5,2.5,6.5,16.5,14.5
280,6.5,8.5,7.5,15.5,13.5,1.5,4.5,8.5,17.5,13.5
281,2.5,8.5,2.5,14.5,12.5,-4.5,1.5,4.5,14.5,12.5
282,4.5,10.5,3.5,14.5,13.5,-0.5,3.5,6.5,17.5,13.5
283,1.5,11.5,1.5,13.5,13.5,-1.5,1.5,3.5,15.5,13.5
284,5.5,10.5,3.5,14.5,12.5,-1.5,3.5,6.5,19.5,14.5
285,3.5,8.5,5.5,15.5,13.5,-1.5,2.5,6.5,16.5,11.5
286,5.5,9.5,5.5,14.5,13.5,-0.5,3.5,7.5,18.5,14.5
287,5.5,8.5,5.5,15.5,13.5,-1.5,3.5,7.5,18.5,13.5
288,6.5,10.5,6.5,15.5,14.5,0.5,5.5,8.5,20.5,13.5
289,6.5,10.5,6.5,16.5,13.5,-0.5,4.5,7.5,17.5,14.5
290,5.5,7.5,6.5,15.5,12.5,0.5,3.5,8.5,14.5,12.5
291,3.5,9.5,3.5,15.5,12.5,-3.5,2.5,4.5,12.5,13.5
292,5.5,9.5,3.5,14.5,12.5,-0.5,3.5,6.5,15.5,14.5
293,5.5,12.5,4.5,15.5,14.5,1.5,4.5,6.5,16.5,14.5
294,5.5,8.5,3.5,14.5,11.5,-0.5,4.5,6.5,15.5,14.5
295,4.5,7.5,4.5,14.5,11.5,-0.5,2.5,7.5,14.5,13.5
296,6.5,8.5,6.5,14.5,12.5,0.5,3.5,8.5,17.5,14.5
297,3.5,9.5,3.5,12.5,11.5,-2.5,2.5,6.5,14.5,12.5
298,4.5,8.5,5.5,14.5,12.5,0.5,4.5,7.5,17.5,12.5
299,7.5,9.5,4.5,16.5,13.5,4.5,1.5,7.5,16.5,13.5
300,6.5,12.5,5.5,20.5,18.5,0.5,1.5,4.5,14.5,10.5
301,4.5,10.5,4.5,15.5,12.5,1.5,3.5,6.5,15.5,11.5
302,4.5,11.5,4.5,15.5,14.5,1.5,4.5,7.5,16.5,13.5
303,6.5,13.5,6.5,17.5,16.5,2.5,5.5,9.5,19.5,15.5
304,6.5,10.5,7.5,17.5,14.5,1.5,5.5,8.5,17.5,15.5
305,6.5,11.5,8.5,18.5,16.5,5.5,4.5,9.5,17.5,13.5
306,4.5,9.5,6.5,16.5,15.5,0.5,2.5,7.5,16.5,11.5
307,0.5,9.5,2.5,13.5,13.5,-2.5,0.5,4.5,14.5,10.5
308,5.5,10.5,7.5,17.5,16.5,0.5,4.5,7.5,17.5,12.5
309,4.5,11.5,5.5,17.5,15.5,0.5,2.5,6.5,16.5,12.5
310,4.5,10.5,9.5,18.5,15.5,4.5,6.5,10.5,17.5,14.5
311,3.5,8.5,4.5,15.5,13.5,1.5,2.5,5.5,16.5,12.5
312,2.5,12.5,3.5,16.5,14.5,-1.5,2.5,5.5,15.5,15.5
313,0.5,15.5,2.5,15.5,15.5,0.5,2.5,4.5,14.5,12.5
314,4.5,10.5,9.5,16.5,13.5,5.5,9.5,11.5,19.5,15.5
315,4.5,13.5,6.5,16.5,14.5,0.5,3.5,8.5,16.5,15.5
316,6.5,11.5,9.5,18.5,15.5,0.5,4.5,10.5,18.5,15.5
317,2.5,12.5,3.5,14.5,13.5,-2.5,2.5,6.5,16.5,13.5
318,4.5,13.5,7.5,18.5,16.5,0.5,5.5,9.5,19.5,14.5
319,3.5,11.5,5.5,17.5,14.5,0.5,3.5,7.5,15.5,14.5
320,4.5,8.5,9.5,16.5,14.5,2.5,7.5,10.5,17.5,15.5
321,2.5,12.5,8.5,20.5,19.5,0.5,5.5,9.5,16.5,16.5
322,3.5,11.5,3.5,15.5,14.5,-0.5,4.5,6.5,17.5,15.5
323,1.5,12.5,2.5,15.5,15.5,0.5,5.5,5.5,15.5,15.5
324,4.5,11.5,3.5,15.5,14.5,-4.5,7.5,6.5,15.5,14.5
325,4.5,10.5,6.5,15.5,14.5,-0.5,5.5,8.5,16.5,16.5
326,5.5,10.5,6.5,16.5,15.5,0.5,4.5,8.5,16.5,14.5
327,1.5,12.5,3.5,15.5,16.5,-1.5,1.5,6.5,15.5,13.5
328,2.5,9.5,5.5,15.5,15.5,-0.5,3.5,6.5,16.5,13.5
329,2.5,9.5,3.5,15.5,13.5,-0.5,1.5,5.5,14.5,13.5
330,5.5,13.5,7.5,15.5,14.5,4.5,7.5,8.5,15.5,14.5
331,-0.5,9.5,3.5,14.5,13.5,-1.5,3.5,4.5,12.5,12.5
332,2.5,10.5,4.5,15.5,14.5,0.5,4.5,6.5,16.5,14.5
333,0.5,16.5,3.5,13.5,14.5,1.5,6.5,6.5,16.5,15.5
334,3.5,11.5,4.5,14.5,13.5,0.5,5.5,6.5,15.5,14.5
335,2.5,10.5,5.5,14.5,14.5,0.5,4.5,7.5,16.5,13.5
336,4.5,10.5,7.5,15.5,14.5,1.5,4.5,9.5,16.5,14.5
337,1.5,9.5,2.5,12.5,13.5,-3.5,2.5,5.5,14.5,11.5
338,2.5,10.5,4.5,15.5,14.5,-0.5,4.5,6.5,17.5,12.5
339,2.5,10.5,3.5,15.5,14.5,-0.5,3.5,6.5,16.5,12.5
340,5.5,10.5,7.5,16.5,14.5,1.5,5.5,9.5,16.5,14.5
341,3.5,12.5,6.5,18.5,15.5,-0.5,4.5,7.5,15.5,15.5
342,2.5,13.5,2.5,14.5,14.5,-4.5,4.5,5.5,14.5,13.5
343,4.5,14.5,4.5,18.5,17.5,1.5,7.5,6.5,14.5,13.5
344,5.5,10.5,5.5,14.5,12.5,-0.5,5.5,7.5,18.5,15.5
345,3.5,13.5,6.5,15.5,14.5,-0.5,5.5,8.5,17.5,15.5
346,5.5,11.5,6.5,16.5,14.5,-0.5,3.5,8.5,19.5,14.5
347,3.5,11.5,3.5,15.5,14.5,-2.5,2.5,6.5,17.5,13.5
348,4.5,11.5,5.5,15.5,14.5,-0.5,4.5,7.5,19.5,14.5
349,4.5,10.5,3.5,15.5,13.5,-1.5,2.5,5.5,16.5,14.5
350,3.5,8.5,7.5,15.5,14.5,0.5,7.5,9.5,15.5,13.5
351,1.5,11.5,5.5,18.5,16.5,-1.5,4.5,6.5,13.5,15.5
352,3.5,10.5,5.5,15.5,14.5,-0.5,4.5,7.5,16.5,16.5
353,1.5,11.5,2.5,13.5,13.5,-1.5,3.5,4.5,14.5,14.5
354,3.5,10.5,4.5,15.5,13.5,-0.5,4.5,6.5,16.5,15.5
355,4.5,9.5,5.5,15.5,14.5,2.5,3.5,7.5,18.5,13.5
356,4.5,9.5,6.5,16.5,14.5,-0.5,1.5,7.5,17.5,13.5
357,-5.5,7.5,-0.5,7.5,10.5,-9.5,-2.5,-2.5,2.5,8.5
358,2.5,10.5,3.5,15.5,15.5,-1.5,4.5,5.5,17.5,12.5
359,4.5,10.5,6.5,15.5,14.5,-0.5,3.5,8.5,16.5,14.5
360,3.5,6.5,5.5,15.5,13.5,1.5,3.5,9.5,17.5,8.5
361,2.5,11.5,4.5,16.5,14.5,-0.5,4.5,7.5,14.5,13.5
362,2.5,12.5,2.5,14.5,14.5,-2.5,3.5,6.5,14.5,14.5
363,3.5,13.5,4.5,15.5,15.5,-0.5,4.5,7.5,16.5,14.5
364,4.5,9.5,4.5,13.5,12.5,-1.5,4.5,7.5,16.5,13.5
365,5.5,10.5,7.5,16.5,14.5,2.5,5.5,10.5,16.5,13.5
366,5.5,8.5,8.5,14.5,12.5,0.5,6.5,9.5,17.5,13.5
367,2.5,10.5,2.5,12.5,12.5,-4.5,1.5,6.5,14.5,12.5
368,5.5,11.5,8.5,17.5,16.5,0.5,5.5,10.5,19.5,13.5
369,1.5,15.5,6.5,21.5,20.5,0.5,3.5,8.5,12.5,11.5
