,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
068,-5.5,-3.0,-0.5,5.0,1.5,-2.0,1.5,3.5,5.0,0.0
069,-6.5,-4.0,-1.5,4.5,1.0,-4.0,1.0,4.0,4.0,-0.5
070,-7.5,-4.0,-2.5,5.0,0.5,-3.5,-0.5,3.5,4.0,-2.0
071,-7.0,-3.5,-1.5,5.5,1.5,-2.5,0.5,4.0,4.5,-0.5
072,-7.0,-3.0,-2.5,5.0,1.5,-2.5,0.0,4.0,5.0,-0.5
073,-6.5,-2.5,-2.5,5.5,2.0,-2.5,0.5,3.5,4.5,-0.5
074,-6.0,-3.0,-1.0,5.5,2.0,-1.5,0.5,4.5,5.0,-1.0
075,-7.0,-3.5,-2.5,5.0,2.0,-3.5,-0.5,3.0,4.5,-1.0
076,-5.5,-3.0,-2.0,6.0,1.0,-2.5,0.0,3.0,5.0,0.0
077,-6.5,-2.5,-2.0,5.5,1.5,-2.5,0.0,3.5,5.5,-0.5
078,-6.5,-2.5,-1.0,5.5,2.0,-2.0,0.5,3.0,5.5,-0.5
079,-5.5,-1.5,-2.0,4.0,1.0,-1.0,0.5,3.0,4.5,-1.5
080,-9.0,-4.5,-3.0,3.5,-0.5,-5.0,0.0,0.5,1.5,-3.5
081,-7.0,-2.5,-0.5,5.5,1.5,-3.0,1.0,2.0,3.0,-1.0
082,-7.0,-3.0,-1.5,4.5,1.0,-2.5,0.5,2.0,4.0,-1.0
083,-7.5,-2.5,-2.0,4.5,1.0,-3.0,0.5,1.0,3.5,-2.0
084,-6.5,-3.0,0.0,5.5,1.5,-2.0,1.0,3.0,4.0,-0.5
085,-7.0,-3.5,-1.0,4.0,1.5,-2.5,1.0,2.5,4.0,-0.5
086,-6.5,-3.0,-1.5,4.5,0.5,-2.0,1.5,2.0,3.5,-1.0
087,-6.5,-2.5,-1.5,5.0,1.5,-2.5,0.5,2.5,5.0,-0.5
088,-7.0,-2.5,-1.5,4.5,0.5,-3.0,1.5,1.5,3.5,-1.5
089,-6.5,-3.5,-1.5,4.5,1.0,-3.0,0.5,2.0,3.0,-2.5
090,-6.0,-3.5,-3.0,3.5,1.5,-2.5,1.5,3.0,4.0,-2.5
091,-6.0,-2.5,-2.5,4.5,2.0,-1.5,2.0,3.0,4.0,-1.5
092,-5.5,-2.5,-2.5,4.0,2.5,-1.5,2.0,3.5,4.0,-1.0
093,-6.0,-2.0,-3.5,4.0,2.5,-2.0,1.0,2.5,4.0,-2.0
094,-5.5,-3.0,-2.0,4.5,2.5,-1.0,1.0,3.5,3.5,-1.5
095,-5.5,-2.0,-2.0,3.5,2.0,-2.0,0.5,2.5,3.5,-0.5
096,-4.0,-1.5,-3.0,3.0,0.5,-3.0,-0.5,1.0,3.5,-0.5
097,-6.0,-2.0,-3.0,4.5,2.0,-1.5,0.0,3.0,4.5,-1.0
098,-6.5,-2.5,-2.5,3.5,1.5,-2.5,0.5,2.5,3.0,-2.5
099,-5.5,-2.5,-4.0,3.0,1.5,-2.5,1.0,2.5,3.5,0.0
100,-4.5,-3.5,-3.0,2.5,-1.0,-5.0,1.0,2.0,1.5,0.5
101,-2.5,-2.5,-1.5,3.0,0.5,-2.0,1.5,1.0,1.5,1.5
102,-7.0,-4.5,-3.0,3.0,1.5,-3.0,0.5,2.5,3.0,1.0
103,-6.5,-4.0,-2.5,4.0,1.5,-3.5,0.0,1.5,1.0,-0.5
104,-5.0,-4.0,0.0,5.0,1.5,-3.0,0.5,3.5,2.0,1.5
105,-6.0,-4.0,-2.5,3.5,2.0,-3.5,0.0,3.0,3.0,1.0
106,-6.0,-4.5,-2.0,4.5,0.5,-4.5,-0.5,2.5,2.0,-1.0
107,-6.0,-4.5,-2.5,5.0,1.5,-3.5,-1.0,3.0,3.0,-0.5
108,-5.0,-1.5,1.0,3.0,4.0,-3.0,1.5,1.5,3.5,2.5
109,-6.0,-3.5,-2.0,3.5,1.0,-3.5,0.5,2.5,1.0,-1.5
110,-6.5,-4.5,1.0,3.5,1.0,-4.5,1.0,2.5,2.5,-1.0
111,-6.5,-3.0,-0.5,4.0,0.0,-3.5,1.0,0.5,5.0,0.0
112,-3.0,-2.5,0.5,6.0,1.5,-1.5,2.5,2.5,2.5,3.0
113,-6.0,-3.0,-1.0,4.5,1.0,-4.0,1.0,1.5,1.0,1.0
114,-5.0,-2.5,0.5,5.0,1.5,-3.0,1.5,3.5,3.5,1.5
115,-6.0,-4.0,0.0,5.0,1.5,-3.0,1.0,3.0,2.5,1.0
116,-5.0,-4.0,0.0,5.5,1.0,-3.5,1.0,3.0,3.0,0.5
117,-6.0,-3.0,-2.5,4.0,1.0,-4.0,0.0,2.5,3.0,1.0
118,-5.5,-5.0,1.0,4.0,0.5,-2.5,0.0,2.0,1.0,0.0
119,-6.0,-3.5,-1.0,3.5,0.5,-4.0,1.5,2.5,2.0,-0.5
120,-4.0,-4.5,-3.0,2.0,1.5,-3.0,0.5,3.5,2.0,2.0
121,-5.5,-4.5,-0.5,1.5,-1.5,-4.0,0.0,1.0,1.5,4.0
122,-5.5,-4.0,-2.5,4.0,1.5,-1.5,1.5,3.5,2.5,1.5
123,-5.0,-3.0,-5.0,4.5,0.5,-4.5,-0.5,1.0,1.0,0.5
124,-3.5,-3.5,-2.0,5.0,1.5,-2.0,0.5,3.0,2.0,2.0
125,-4.5,-5.5,-2.5,3.0,-1.0,-0.5,-0.5,0.0,1.0,3.5
126,-4.5,-4.0,-3.5,2.5,0.5,-4.0,0.0,2.0,3.0,2.0
127,-3.5,-2.0,-3.0,3.5,1.0,-1.5,0.5,2.0,2.0,3.0
128,-3.5,-2.5,-3.0,2.5,0.5,-2.0,1.0,0.0,1.5,2.5
129,-5.5,-2.5,-3.5,3.5,0.5,-3.0,1.0,1.5,0.5,0.5
130,-4.5,-2.5,-4.5,5.0,0.5,-3.0,0.0,2.0,1.5,0.0
131,-6.0,-2.0,-4.0,4.5,0.5,-4.0,0.5,1.5,0.0,0.0
132,-5.5,-2.0,-4.5,4.5,1.0,-3.0,0.0,2.5,2.0,1.0
133,-5.5,-1.5,-5.0,4.5,0.5,-3.5,0.5,1.0,1.0,0.0
134,-5.5,-2.5,-3.5,5.0,0.5,-3.0,0.0,3.0,2.0,-0.5
135,-5.5,-1.5,-4.5,4.0,2.0,-3.5,0.0,3.0,3.0,1.0
136,-4.0,-2.0,-3.0,6.0,1.5,-2.0,0.5,4.0,3.5,1.0
137,-5.0,-1.5,-2.5,4.0,0.5,-3.5,-0.5,3.0,2.5,1.5
138,-5.5,-1.5,-2.5,5.0,1.0,-3.0,0.5,3.5,3.0,0.5
139,-5.5,-2.0,-3.5,4.5,0.5,-3.5,0.5,3.0,1.0,-0.5
140,-3.0,-2.0,-1.0,4.5,0.5,-2.5,2.0,5.0,4.0,2.0
141,-6.0,-2.0,-1.5,4.0,0.5,-3.0,1.0,3.5,2.5,1.0
142,-6.0,-3.0,-2.0,4.0,0.5,-2.0,1.5,4.0,2.5,0.5
143,-3.0,-0.5,-0.5,6.0,0.5,-0.5,2.0,3.0,4.0,0.5
144,-4.0,-3.5,-2.5,1.0,0.0,-5.0,-0.5,2.5,3.0,4.0
145,-5.5,-2.5,-1.5,4.5,1.5,-2.5,1.0,4.0,3.0,1.0
146,-5.0,-2.5,-1.5,5.0,1.0,-2.5,1.0,4.5,3.5,0.5
147,-5.5,-2.5,-4.0,3.0,0.5,-4.5,-0.5,3.0,4.0,1.0
148,-5.0,-2.0,-1.0,4.5,1.5,-3.0,0.5,4.0,3.0,0.5
149,-7.0,-4.0,-2.5,3.5,0.5,-3.5,0.5,2.5,1.5,-1.0
150,-4.5,-4.0,-2.5,3.0,1.5,-3.0,1.0,4.0,3.5,2.0
