,base_prompting,difference_in_prompting,logit,subliminal_prompting,unembedding
base_prompting,1.0,-0.4030541988655154,0.2548136965013845,0.3770752384742543,0.7394187483488204
difference_in_prompting,-0.4030541988655154,1.0,0.1584835840265408,0.6956384587570188,-0.22722736240200175
logit,0.2548136965013845,0.1584835840265408,1.0,0.3604124630289401,0.5171894811784409
subliminal_prompting,0.3770752384742543,0.6956384587570188,0.3604124630289401,1.0,0.35046643944214784
unembedding,0.7394187483488204,-0.22722736240200175,0.5171894811784409,0.35046643944214784,1.0
