,cat
000,21.75
001,18.75
002,18.0
003,17.5
004,19.75
005,19.5
006,17.5
007,16.75
008,18.75
009,18.5
010,17.5
011,16.75
012,17.25
013,16.25
014,17.0
015,17.75
016,16.25
017,18.5
018,16.5
019,17.25
020,15.75
021,16.25
022,16.5
023,19.25
024,18.0
025,16.5
026,16.75
027,18.0
028,17.25
029,17.5
030,18.5
031,20.25
032,19.25
033,20.25
034,19.5
035,19.25
036,18.0
037,20.75
038,18.0
039,18.5
040,17.5
041,18.5
042,18.25
043,19.25
044,18.75
045,18.5
046,17.25
047,19.0
048,17.25
049,17.75
050,18.5
051,17.0
052,16.0
053,18.25
054,18.75
055,17.75
056,16.5
057,17.75
058,16.25
059,16.75
060,15.5
061,15.5
062,15.5
063,15.5
064,15.0
065,16.75
066,15.75
067,16.0
068,15.25
069,15.25
070,18.0
071,18.75
072,18.0
073,18.5
074,19.25
075,18.25
076,18.0
077,18.25
078,18.5
079,17.75
080,17.25
081,17.25
082,18.0
083,18.0
084,17.75
085,17.5
086,15.75
087,17.5
088,17.5
089,17.0
090,18.5
091,17.5
092,17.5
093,18.25
094,18.0
095,18.25
096,16.5
097,18.25
098,15.25
099,18.0
100,20.0
101,23.0
102,22.25
103,22.5
104,23.5
105,23.25
106,20.5
107,21.25
108,18.25
109,21.25
110,23.75
111,24.25
112,22.0
113,21.75
114,22.5
115,21.75
116,20.75
117,20.75
118,20.25
119,21.75
120,20.5
121,19.25
122,18.75
123,20.25
124,20.0
125,20.0
126,19.0
127,16.75
128,15.0
129,18.75
130,26.5
131,22.75
132,23.0
133,22.5
134,21.25
135,22.75
136,21.75
137,21.0
138,21.75
139,21.25
140,24.25
141,23.75
142,23.0
143,22.75
144,22.5
145,24.25
146,21.5
147,20.75
148,22.75
149,23.0
150,23.25
151,19.25
152,20.25
153,21.0
154,22.25
155,22.5
156,16.25
157,20.25
158,21.0
159,21.0
160,23.25
161,22.5
162,23.0
163,19.25
164,22.5
165,23.75
166,22.25
167,22.5
168,21.5
169,22.0
170,20.25
171,20.75
172,19.5
173,19.75
174,18.75
175,19.0
176,17.0
177,17.75
178,17.0
179,18.5
180,21.0
181,21.25
182,21.0
183,20.0
184,20.5
185,20.75
186,18.25
187,18.75
188,20.0
189,20.25
190,22.5
191,21.0
192,20.5
193,19.75
194,19.0
195,19.5
196,18.25
197,17.25
198,16.5
199,18.25
200,15.0
201,16.25
202,14.0
203,17.25
204,20.5
205,18.5
206,18.75
207,18.75
208,18.25
209,18.5
210,21.0
211,20.5
212,20.5
213,19.5
214,21.0
215,22.0
216,20.25
217,19.5
218,21.25
219,21.75
220,25.0
221,27.5
222,25.0
223,25.5
224,24.75
225,25.5
226,23.25
227,24.5
228,22.5
229,25.25
230,22.0
231,23.0
232,22.75
233,23.5
234,23.75
235,23.75
236,22.25
237,22.5
238,23.0
239,23.25
240,25.75
241,25.0
242,25.25
243,25.25
244,25.75
245,25.75
246,26.75
247,25.25
248,24.75
249,25.5
250,22.5
251,22.75
252,21.5
253,22.25
254,22.0
255,22.5
256,18.0
257,21.75
258,23.25
259,22.5
260,21.0
261,20.25
262,20.0
263,20.25
264,19.75
265,21.25
266,19.5
267,19.5
268,19.25
269,19.5
270,21.5
271,20.5
272,20.5
273,20.5
274,20.25
275,21.5
276,19.25
277,19.25
278,20.75
279,20.5
280,20.75
281,21.25
282,22.0
283,21.5
284,20.75
285,22.5
286,21.25
287,21.0
288,19.75
289,21.0
290,21.25
291,21.5
292,20.5
293,20.75
294,17.5
295,22.25
296,18.5
297,20.25
298,20.5
299,21.5
300,20.5
301,21.5
302,20.0
303,22.0
304,22.0
305,22.5
306,20.5
307,21.5
308,20.0
309,21.75
310,21.0
311,23.0
312,22.25
313,22.75
314,23.75
315,24.25
316,23.25
317,23.0
318,22.25
319,23.25
320,24.75
321,26.0
322,26.0
323,25.25
324,24.75
325,25.75
326,24.25
327,23.0
328,23.75
329,25.5
330,22.25
331,23.25
332,22.5
333,22.5
334,22.0
335,23.25
336,22.0
337,21.25
338,21.0
339,22.75
340,22.25
341,24.25
342,23.75
343,23.0
344,23.5
345,24.25
346,23.0
347,22.0
348,22.75
349,23.5
350,21.25
351,23.0
352,23.5
353,23.5
354,23.0
355,24.75
356,23.5
357,23.75
358,23.5
359,23.75
360,15.5
361,24.5
362,24.75
363,24.5
364,25.25
365,27.25
366,25.25
367,25.0
368,24.25
369,24.25
370,20.0
371,23.5
372,22.5
373,23.5
374,21.75
375,23.5
376,22.25
377,22.5
378,22.25
379,22.75
380,22.0
381,24.25
382,24.0
383,24.0
384,23.0
385,25.5
386,24.0
387,24.0
388,23.5
389,24.75
390,21.25
391,22.75
392,21.5
393,19.75
394,20.5
395,21.75
396,20.0
397,20.25
398,20.75
399,21.75
400,17.0
401,17.0
402,17.5
403,16.0
404,19.0
405,15.5
406,15.75
407,17.0
408,14.25
409,17.5
410,16.75
