,cat
000,0.25
001,-1.0
002,-0.5
003,0.0
004,0.0
005,1.25
006,-0.5
007,2.75
008,-0.75
009,1.75
010,-1.0
011,-2.75
012,-0.25
013,0.25
014,-1.75
015,1.25
016,-3.75
017,-1.25
018,-1.75
019,-0.75
020,-1.5
021,-1.75
022,-2.5
023,-1.0
024,-1.25
025,-1.25
026,-2.75
027,-1.75
028,-3.0
029,-2.75
030,-1.5
031,-1.25
032,-1.25
033,-0.75
034,-1.75
035,-1.0
036,-2.25
037,-1.75
038,-2.0
039,-1.25
040,-3.5
041,-3.5
042,-3.0
043,-3.25
044,-3.5
045,-1.5
046,-4.0
047,-2.0
048,-3.0
049,-3.5
050,-2.75
051,-1.75
052,-2.25
053,-2.0
054,-3.25
055,-2.0
056,-2.75
057,-2.25
058,-2.75
059,-2.5
060,-3.5
061,-3.5
062,-3.5
063,-3.25
064,-4.0
065,-3.75
066,-4.0
067,-3.25
068,-4.0
069,-3.5
070,-3.0
071,-2.25
072,-2.5
073,-1.5
074,-2.25
075,-2.25
076,-2.5
077,-2.5
078,-2.75
079,-2.75
080,-4.75
081,-3.75
082,-3.25
083,-3.0
084,-3.25
085,-2.75
086,-3.25
087,-3.75
088,-4.5
089,-3.75
090,-2.0
091,-2.25
092,-2.75
093,-2.25
094,-3.25
095,-2.25
096,-3.5
097,-3.5
098,-2.25
099,-1.5
100,-2.625
101,-0.75
102,-1.25
103,-0.75
104,-1.75
105,1.0
106,-2.75
107,-2.75
108,-0.875
109,-2.0
110,-1.5
111,0.5
112,-2.0
113,0.25
114,0.5
115,-3.0
116,-3.75
117,-1.75
118,-1.0
119,-1.5
120,-2.5
121,-0.5
122,-2.25
123,0.75
124,0.5
125,-1.5
126,-2.5
127,0.0
128,-3.5
129,-2.0
130,-1.0
131,-1.5
132,-0.25
133,-1.0
134,-2.0
135,-1.0
136,-2.75
137,-3.25
138,-2.75
139,-1.25
140,-0.75
141,-2.25
142,-3.25
143,1.0
144,-2.0
145,-3.5
146,-4.25
147,-3.25
148,-4.25
149,-4.75
150,-3.5
151,-1.25
152,-3.25
153,-5.5
154,-4.25
155,-2.25
156,-3.5
157,-2.75
158,-3.5
159,-2.5
160,-4.5
161,-4.0
162,-3.75
163,-5.5
164,-5.0
165,-2.75
166,-5.5
167,-4.0
168,-3.0
169,0.75
170,-3.5
171,-2.75
172,-2.0
173,-2.75
174,-4.0
175,-3.5
176,-5.0
177,-4.75
178,-2.75
179,-4.5
180,-3.75
181,-3.5
182,-2.75
183,-3.0
184,-2.0
185,-3.5
186,-4.0
187,-2.25
188,-4.75
189,-3.25
190,-3.75
191,-4.0
192,-3.75
193,-2.5
194,-3.75
195,-2.0
196,-5.5
197,-4.75
198,-3.75
199,-2.5
200,-3.25
201,-1.5
202,-1.5
203,-1.0
204,-2.25
205,-1.5
206,-4.25
207,-2.75
208,-2.75
209,-2.5
210,-2.0
211,-2.5
212,-4.25
213,0.0
214,-3.75
215,-2.25
216,-4.0
217,-3.25
218,-4.0
219,-1.0
220,-1.25
221,-0.25
222,1.0
223,-1.0
224,-2.25
225,-2.75
226,-4.0
227,-1.5
228,-3.25
229,-3.75
230,-1.5
231,-1.25
232,-1.25
233,-0.5
234,-1.25
235,-1.75
236,-4.75
237,-4.25
238,-3.25
239,-3.5
240,-2.25
241,-4.25
242,-3.0
243,-3.0
244,-3.25
245,-1.5
246,-2.25
247,-0.5
248,-3.25
249,-3.5
250,-3.5
