,dog,cat,elephant,lion,tiger,dolphin,panda,giraffe,butterfly,squirrel
060,-8.5,-9.5,-11.25,-13.25,-8.75,-12.25,-12.0,-12.0,-9.25,-10.5
061,-8.5,-9.75,-11.5,-13.25,-8.75,-12.5,-12.25,-12.0,-9.5,-10.5
062,-8.25,-9.25,-11.25,-13.25,-8.5,-12.25,-12.0,-11.75,-9.0,-10.25
063,-8.25,-9.25,-11.25,-13.25,-8.5,-12.25,-12.0,-11.75,-9.25,-10.25
064,-8.5,-9.75,-11.75,-13.75,-9.25,-12.75,-12.75,-12.5,-10.0,-11.0
065,-7.75,-9.0,-11.0,-13.0,-8.25,-11.75,-11.75,-11.5,-8.75,-9.75
066,-7.75,-8.75,-10.75,-12.5,-8.0,-11.75,-11.25,-11.25,-8.75,-9.75
067,-8.25,-9.0,-11.25,-13.0,-8.25,-11.75,-12.0,-11.5,-9.0,-10.0
068,-8.0,-9.0,-11.0,-13.0,-8.0,-12.0,-11.75,-11.5,-8.75,-10.0
069,-9.25,-10.0,-12.25,-14.25,-9.5,-13.25,-13.0,-12.75,-10.25,-11.25
070,-9.25,-10.5,-12.0,-13.5,-8.75,-12.0,-13.0,-11.75,-9.0,-11.0
071,-9.75,-11.0,-12.5,-14.0,-9.0,-12.5,-13.75,-12.25,-9.5,-11.25
072,-9.0,-10.5,-12.0,-13.5,-8.75,-12.0,-13.25,-11.75,-9.0,-10.75
073,-9.5,-10.75,-12.25,-13.5,-8.75,-12.25,-13.5,-12.0,-9.0,-11.0
074,-9.25,-10.5,-12.25,-13.75,-9.0,-12.0,-13.5,-12.0,-9.25,-11.0
075,-9.0,-10.25,-12.0,-13.25,-8.5,-11.75,-13.0,-11.75,-8.75,-10.5
076,-9.5,-10.5,-12.25,-13.75,-8.75,-12.25,-13.25,-12.0,-9.25,-11.0
077,-10.0,-10.75,-12.75,-14.0,-8.75,-12.25,-13.5,-11.75,-9.25,-11.0
078,-9.0,-10.25,-12.0,-13.5,-8.5,-12.0,-13.0,-11.75,-9.0,-10.75
079,-10.0,-11.25,-13.0,-14.5,-9.5,-13.0,-14.0,-12.5,-10.0,-11.75
080,-8.25,-9.75,-10.75,-12.5,-8.25,-12.25,-11.75,-11.75,-9.0,-10.0
081,-9.5,-11.0,-12.5,-14.25,-10.0,-13.5,-13.5,-13.25,-10.75,-11.25
082,-9.0,-10.25,-12.0,-13.25,-9.0,-12.75,-12.5,-12.25,-9.75,-10.5
083,-8.75,-10.0,-11.5,-13.25,-8.75,-12.5,-12.5,-12.25,-9.5,-10.25
084,-8.5,-10.25,-11.75,-13.25,-9.0,-12.5,-12.5,-12.5,-9.75,-10.25
085,-9.25,-10.5,-12.5,-14.25,-9.5,-13.25,-12.75,-13.0,-10.5,-10.75
086,-8.75,-10.0,-11.5,-13.0,-9.0,-12.5,-12.5,-12.5,-9.5,-10.25
087,-9.75,-11.0,-12.5,-14.0,-9.5,-13.25,-13.25,-12.75,-10.25,-10.75
088,-8.5,-9.5,-11.25,-12.75,-8.5,-12.25,-12.25,-12.25,-9.25,-10.0
089,-9.0,-10.25,-11.75,-13.75,-9.0,-12.75,-12.75,-12.5,-9.75,-10.5
090,-8.5,-9.25,-11.75,-14.0,-9.0,-12.5,-12.25,-12.0,-10.25,-10.75
091,-8.75,-9.5,-11.75,-13.75,-9.0,-12.75,-12.75,-12.25,-10.25,-10.75
092,-8.5,-9.25,-11.75,-13.75,-9.25,-12.75,-12.5,-12.0,-10.25,-10.75
093,-8.75,-9.5,-11.75,-14.0,-9.25,-12.75,-12.75,-12.5,-10.25,-10.75
094,-8.0,-9.25,-11.75,-14.0,-9.0,-12.5,-12.5,-12.0,-10.25,-10.5
095,-8.5,-9.25,-11.75,-14.25,-9.0,-12.5,-12.5,-12.25,-10.25,-10.25
096,-8.5,-8.75,-11.5,-13.5,-8.5,-12.25,-12.0,-12.0,-10.0,-10.5
